ID,Quote,Author,Source,Rating,Tags,Source Type,Notes,Date Added
Q042,"Empathy is a strange and powerful thing. There is no script. There is no right way or wrong way to do it. It's simply listening, holding space, withholding judgment, emotionally connecting, and communicating that incredibly healing message of 'You're not alone.",Brene Brown,Daring Greatly,,Connection,,,2016-01-01
Q043,"Three stages of growth: aspiration, adversity, achievement.",Ryan Holiday,Ego is the Enemy,,Growth,,,2016-01-01
Q044,"Learning to quiet the ego will help us to be humble in our aspirations, gracious in our success, resilient in our failures.",Ryan Holiday,Ego is the Enemy,,Humility,,,2016-01-01
Q045,"If you have a 10-horsepower motor and you subject it to a 12-horsepower load, it will burn out. But when you have a human body that is the equivalent of a 10-horsepower motor and you subject it to a 12-horsepower load, it eventually becomes a 12-horsepower motor.",Lawrence Golding,Encyclopedia of Bodybuilding,4,Running,,,2016-01-01
Q046,The most accomplished performers have defined specific rituals in daily life where as those who are less successful do not.,James E. Loehr,Energy Addict,5,Success,,,2016-01-01
Q047,"We are what we repeatedly do. Excellence, then, is not an act, but a habit.",Aristotle,Energy Addict,4,Character,,,2016-01-01
Q048,"I do then with my friends as I do with my books. I would have them where I can find them, but I seldom use them. We must have society on our own terms, and admit or exclude it on the slightest cause. I cannot afford to speak too much with my friend. If he is great, he makes me so great that I cannot descend to converse.",Ralph Waldo Emerson,Essay on Friendship,4,Friendship,,,2016-01-01
Q049,"It is foolish to be afraid of making our ties too spiritual, as if so we could lose any genuine love.",Ralph Waldo Emerson,Essay on Friendship,4,Friendship,,,2016-01-01
Q050,"The higher the style we demand of friendship, of course the less easy to establish it with flesh and blood. We walk alone in the world. Friends, such as we desire, are dreams and fables.",Ralph Waldo Emerson,Essay on Friendship,4,Friendship,,,2016-01-01
Q051,"Wait, and thy heart shall speak. Wait until the necessary and everlasting overpowers you, until day and night avail themselves of your lips. The only reward of virtue is virtue; the only way to have a friend is to be one. You shall not come nearer a man by getting into his house. If unlike, his soul only flees the faster from you, and you shall never catch a true glance of his eye.",Ralph Waldo Emerson,Essay on Friendship,4,Friendship,,,2016-01-01
Q052,"Friendship demands a religious treatment. We talk of choosing our friends, but friends are self-elected. Reverence is a great part of it. Treat your friend as a spectacle.",Ralph Waldo Emerson,Essay on Friendship,4,Friendship,,,2016-01-01
Q053,"Let this friendship be an alliance of two large, formidable natures, mutually beheld, mutually feared, before yet they recognize the deep identity which beneath these disparities unites them.",Ralph Waldo Emerson,Essay on Friendship,4,Connection,,,2016-01-01
Q054,"We are to dignify our friend the daily needs and offices of man's life, and embellish it by courage, wisdom, and unity. Our friendship should never fall into something usual and settled, but should be alert and inventive, and add rhyme and reason to what was drudgery.",Ralph Waldo Emerson,Essay on Friendship,4,Friendship,,,2016-01-01
Q055,"Let us buy our entrance to this guild by a long probation. Why should we desecrate noble and beautiful souls by intruding on them? Why insist on rash personal relations with your friend? Why go to his house, or know his mother and brother and sisters? Why be visited by him at your own? Are these things material to our covenant? Leave this touching and clawing. Let him be to me a spirit. A message, a thought, a sincerity, a glance from him, I want, but not news, nor pottage. I can get politics and chat, and neighborly conveniences from cheaper companions.",Ralph Waldo Emerson,Essay on Friendship,5,Friendship,,,2016-01-01
Q056,"Let him not cease an instant to be himself. The only joy I have in his being mine, is that the not mine is mine. I hate, where I looked for a manly furtherance, or at least a manly resistance, to find a mush of concession. Better be a nettle in the side of your friend than his echo.",Ralph Waldo Emerson,Essay on Friendship,5,Authenticity,,,2016-01-01
Q057,"I find the law of one to one peremptory for conversation, which is the practice and consummation of friendship. Do not mix waters too much. You shall have very useful and cheering discourse at several times with two several men, but let all three of you come together, and you shall not have one new and hearty word. Two may talk and one may hear, but three cannot take part in a conversation of the most sincere and searching sort.",Ralph Waldo Emerson,Essay on Friendship,5,Connection,,,2016-01-01
Q058,"Every man alone is sincere. At the entrance of a second person, hypocrisy begins.",Ralph Waldo Emerson,Essay on Friendship,5,Authenticity,,,2016-01-01
Q059,"A friend is a person with I may be sincere. Before him I may think aloud. I am arrived at last in the presence of a man so real and equal, that I may drop even those undermost garments of dissimulation, courtesy, and second thought, which men never put off, and may deal with him with the simplicity and wholeness with which one chemical meets another.",Ralph Waldo Emerson,Essay on Friendship,5,Authenticity,,,2016-01-01
Q060,There are two elements that go to the composition of friendship. One is sincerity and the other is tenderness.,Ralph Waldo Emerson,Essay on Friendship,5,Friendship,,,2016-01-01
Q061,"I do not wish to treat friendship daintily, but with the roughest courage. When they are real, they are not glass threads or frostwork, but the solidest thing we know. The sweet sincerity of joy and peace, which I draw from this alliance with my brother's soul, is the nut itself, whereof all nature and all thought is but the husk and shell.",Ralph Waldo Emerson,Essay on Friendship,5,Authenticity,,,2016-01-01
Q062,"The laws of friendship are austere and eternal, of one web with the laws of nature and of morals. But we have aimed at a swift and petty benefit, to suck a sudden sweetness. We snatch at the slowest fruit in the whole garden of God, which many summers and many winters must ripen. We seek our friend not sacredly, but with an adulterate passion which would appropriate him to ourselves. In vain.",Ralph Waldo Emerson,Essay on Friendship,5,Friendship,,,2016-01-01
Q063,"What is so delicious as a just and firm encounter of two, in a thought, in a feeling? How beautiful, on their approach to this beating heart, the steps and forms of the gifted and the true! The moment we indulge our affections, the earth is metamorphosed; there is no winter, and no night; all tragedies, all ennuis, vanish,--all duties even; nothing fills the proceeding eternity but the forms all radiant of beloved persons.",Ralph Waldo Emerson,Essay on Friendship,5,Connection,,,2016-01-01
Q064,Nothing can bring you peace but yourself. Nothing can bring you peace but the triumph of principles,Ralph Waldo Emerson,Essay on Self-Reliance,5,Character,,,2016-01-01
Q065,"Men must measure their esteem of each other by what each is, and not by what each has.",Ralph Waldo Emerson,Essay on Self-Reliance,4,Character,,,2016-01-01
Q066,"Every great man is unique. Insist on yourself. Your own gift you can present every moment with the cumulative force of a whole life's cultivation; but of the adopted talent of another, you have only an extemporaneous, half-possession.",Ralph Waldo Emerson,Essay on Self-Reliance,5,Independence,,,2016-01-01
Q067,"Say to them that threaten your independence: O father, O mother, O wife, O friend, I have lived with you after your appearances hitherto. Henceforward I am the truth's. Be it known unto you that henceforward I obey no law less than the eternal law. I will have no covenants but proximities. I shall endeavor to nourish my parents to support my family, to be the chaste husband of one wife,--but these relations I must fill after a new and unprecedented way. I appeal from your customs. I must be myself. I cannot break myself any longer for you. If you can love me for what I am, we shall be the happier. If you cannot, I will still seek to deserve that you should. I will not hide my tastes or aversions. I will so trust that what is deep is holy, that I will do strongly before the sun and moon whatever inly rejoices me, and the heart appoints. If you are noble, I will love you; if you are not, I will not hurt you and myself by hypocritical attentions. I fyou are true, but not in the same truth with me, cleave to your companions; I will seek my own. I do this not selfishly, but humbly and truly. It is alike your interest, and mine, and all men's however long we have dwelt in lies, to live in truth. Does this sound harsh today? You will soon love what is dictated by your nature as well as mine, and, if we follow the truth, it will bring us out safe at last.",Ralph Waldo Emerson,Essay on Self-Reliance,4,Book Summary,,,2016-01-01
Q068,"The terror that scares us from self-trust is our consistency; a reverence for our past act or word, because the eyes of others have no other data for computing our orbit than our past acts, and we are loath to disappoint them. But with consistency, a great soul has simply nothing to do.",Ralph Waldo Emerson,Essay on Self-Reliance,5,Consistency,,,2016-01-01
Q069,"Most men have bound their eyes with one or another handkerchief and attached themselves to some one of these communities of opinion. If I know their sect, I anticipate their argument. Nature is not slow to equip us in the prison-uniform of the party to which we adhere.",Ralph Waldo Emerson,Essay on Self-Reliance,5,Religion,,,2016-01-01
Q070,It is easy in the world to live after the world's opinion; it is easy in solitude to live after our own; but the great man is he who in the midst of the crowd keeps with perfect sweetness the independence of solitude.,Ralph Waldo Emerson,Essay on Self-Reliance,5,Belief,,,2016-01-01
Q071,"What I must do is all that concerns me, not what the people think. It is hard, because you will always find those who think they know what is your duty better than you know it.",Ralph Waldo Emerson,Essay on Self-Reliance,5,Independence,,,2016-01-01
Q072,"I do not wish to expiate, but to live. My life is for itself and not for a spectacle. I much prefer that it should be of a lower strain, so it be genuine and equal, than that it should be glittering and unsteady.",Ralph Waldo Emerson,Essay on Self-Reliance,5,Independence,,,2016-01-01
Q073,"Good and bad are but names very readily transferable to that or this; the only right is what is after my constitution, the only wrong what is against it.",Ralph Waldo Emerson,Essay on Self-Reliance,4,Belief,,,2016-01-01
Q074,Whoso would be a man must be a nonconformist. Nothing is at last sacred but the integrity of your own mind.,Ralph Waldo Emerson,Essay on Self-Reliance,4,Belief,,,2016-01-01
Q075,Trust thyself; every heart vibrates to that iron string.,Ralph Waldo Emerson,Essay on Self-Reliance,4,Belief,,,2016-01-01
Q076,"There is a time in every man's education when he arrives at the conviction that envy is ignorance; that immitation is suicide; that he must take himself for better, for worse.",Ralph Waldo Emerson,Essay on Self-Reliance,5,Self-reliance,,,2016-01-01
Q077,"To believe your own thought, to believe that what is true for you in your private heart is true for all men--that is genius.",Ralph Waldo Emerson,Essay on Self-Reliance,5,Belief,,,2016-01-01
Q078,"No man or woman attains a top job, lands an extraordinary deal, or develops a significant following without this heady combination of confidence, poise, and authenticity that convinces the rest of us that we are in the presence of someone who is the real deal.",Sylvia Ann Hewlett,Executive Presence,5,Career,,,2016-01-01
Q079,"My way back to Christianity was not by abstract philosophical reasoning but by experience--experience of the love of God and the presence of the Spirit, as found within the community of the faithful. I didn't reason myself into the faith.",William P. Alston,God and the Philosophers,5,Faith,,,2016-01-01
Q080,"I've come to believe that any serious attempt to cultivate the moral and spiritual dimensions of life will begin to generate and nourish growing suspicions of something more, that something more to which religious faith is both a response and a call.",Thomas V. Morris,God and the Philosophers,4,Faith,,,2016-01-01
Q081,I am a Christian because the deep resources of Christian theology resonate with and make sense of both the contours of my experience and the lineaments of my thoughts.,Thomas V. Morris,God and the Philosophers,4,Religion,,,2016-01-01
Q082,"It is clear to me that it is not just discrete and dramatic, extraordinary experiences of a limited duration and a memorable nature that function in one's coming to have and then both maintaining and maturing in a religious world view--but it seems to me that the job has been done in my own life primarily by a lot of little experiences, insights, intuitions, feelings, adumbrations, and convictions I have sensed forming within myself.",Thomas V. Morris,God and the Philosophers,4,Faith,,,2016-01-01
Q083,I suppose that one of the most persuasive arguments in favor of any religion is its ability to transform the lives of those who practice it.,Laura L. Garcia,God and the Philosophers,5,Character,,,2016-01-01
Q084,A Level 5 leader is an individual who blends extreme personal humility with intense professional will.,Jim Collins,Good to Great,4,Humility,,,2016-01-01
Q085,People and companies that suffer from the curse of competence rarely become great.,Jim Collins,Good to Great,4,Greatness,,,2016-01-01
Q086,"You can accomplish anything in life, provided that you do not mind who gets the credit.",Harry S. Truman,Good to Great,5,Achievement,,,2016-01-01
Q087,"Growing grit takes requires interest, practice, purpose, and hope.",Angela Duckworth,Grit,,Grit,,,2016-01-01
Q088,A growth mindset leads to optimistic self-talk which leads to perseverance over adversity.,Angela Duckworth,Grit,,Growth,,,2016-01-01
Q089,"An explanation of mindfulness by a professor named Michael Baime: 'I was looking up at the sky and the strangest thing happened. I felt like I was actually getting lost in the sky. I felt sort of an opening, like I was becoming much larger. I later found I could make the same thing happen by paying attention to my own thoughts. I became obsessed and do it all the time.'",Angela Duckworth,Grit,,Mindfulness,,,2016-01-01
Q090,"Overtime repression undermines stability and creates new threats, while democracy and respect for human rights create strong and stable societies.",Hillary Clinton,Hard Choices,,Politics,,,2016-01-01
Q091,"Real democracy means that no group or faction or leader can impose their will, their ideology, their religion, their desires on anyone else.",Hillary Clinton,Hard Choices,,Politics,,,2016-01-01
Q092,Most people spend more time planning their summer vacation than planing their lives.,Patricia Fripp,How Successful People Think,3,Goals,,,2016-01-01
Q093,None of us is as smart as all of us.,Ken Blanchard,How Successful People Think,3,Leadership,,,2016-01-01
Q094,Ninety-nine percent of everything in life I don't need to know about. I try to focus on the one percent that gives the highest return.,John C. Maxwell,How Successful People Think,3,Knowledge,,,2016-01-01
Q095,"The writer of Proverbs observed that sharp people sharpen one another, just as iron sharpens iron. If you want to be a sharp thinker, be around sharp people.",John C. Maxwell,How Successful People Think,5,Friendship,,,2016-01-01
Q096,"It is the dull man who is always sure, and the sure man who is always dull. Creative people don't feel the need to stamp out uncertainty. They see all kinds of inconsitencies and gaps in life, and they often take delight in exploring those gaps.",H. L. Mencken,How Successful People Think,5,Creativity,,,2016-01-01
Q097,He did each thing as if he did nothing else.,Charles Dickens,How Successful People Think,4,Mindfulness,,,2016-01-01
Q098,"A man's character is constantly radiating, communicating.",Stephen R. Covey,How to Succeed with People,5,Character,,,2016-01-01
Q099,Most relationship problems stem from personal problems.,Stephen R. Covey,How to Succeed with People,5,Independence,,,2016-01-01
Q100,"It's futile to fight our battles on the wrong battlefields. We must work on causes, not symptoms.",Stephen R. Covey,How to Succeed with People,3,Self-improvement,,,2016-01-01
Q101,"A sharp saw always cuts faster and better, and we must never be too busy to sharpen ours.",Stephen R. Covey,How to Succeed with People,4,Work,,,2016-01-01
Q102,I've got so much to do today I'll need to spend another hour on my knees.,Martin Luther,How to Succeed with People,3,Prayer,,,2016-01-01
Q103,"For every thousand hacking at the leaves of evil, there is one striking at the root.",Henry David Thoreau,How to Succeed with People,5,Influence,,,2016-01-01
Q104,Treat a man as he is and he will remain as he is. Treat a man as he can and should be and he will become as he can and should be.,Goethe,How to Succeed with People,5,Influence,,,2016-01-01
Q105,The deepest principle in human nature is the craving to be appreciated. It is this urge that differentiates us from the animals. It is this urge that has been responsible for civilization itself.,William James,How to Win Friends & Influence People,5,Gratitude,,,2016-01-01
Q106,"Every man I meet is my superior in some way. In that, I learn of him.",Ralph Waldo Emerson,How to Win Friends & Influence People,4,Interactions,,,2016-01-01
Q107,"Many people fail to make a favorable impression because they don't listen attentively. They have been so much concerned with what they are going to say next that they do not keep their ears open. Very important people have told me that they prefer good listeners to good talkers, but the ability to listen seems rarer than almost any other good trait.",Issac F. Marcosson,How to Win Friends & Influence People,5,Likability,,,2016-01-01
Q108,Talk about your own mistakes before criticizing the other person.,Dale Carnegie,How to Win Friends & Influence People,4,Criticism,,,2016-01-01
Q109,"And so I had him thinking of me as a good conversationalist when, in reality, I had been merely a good listener and had encouraged him to talk.",Dale Carnegie,How to Win Friends & Influence People,4,Conversation,,,2016-01-01
Q110,A person's name is to that person the sweetest and most important sound in any language.,Dale Carnegie,How to Win Friends & Influence People,4,Interactions,,,2016-01-01
Q111,"Criticism is futile because it puts a person on the defensive and usually makes him strive to justify himself. Criticism is dangerous, because it wounds a person's precious pride, hurts his sense of importance, and arouses resentment.",Dale Carnegie,How to Win Friends & Influence People,4,Criticism,,,2016-01-01
Q112,There's magic in the phrase: 'I may be wrong. Let's examine the facts.,Dale Carnegie,How to Win Friends & Influence People,,Conflict,,,2016-01-01
Q113,"It struck me so forcibly that I shall never forget him. He had qualities which I had never seen in any other man. Never had I seen such concentrated attention. There was none of that piercing 'soul penetrating gaze' business. His eyes were mild and genial. His voice was low and kind. His gestures were few. But the attention he gave me, his appreciation of what I said, even when I said it badly, was extraordinary. You've no idea what it meant to be listened to like that.",Dale Carnegie,How to Win Friends & Influence People,5,Gratitude,,,2016-01-01
Q114,You can make more friends in two months by becoming interested in other people than you can in two years by trying to get other people interested in you.,Dale Carnegie,How to Win Friends & Influence People,5,Friends,,,2016-01-01
Q115,"When dealing with people, let us remember we are not dealing with creatures of logic. We are dealing with creatures of emotion, creatures bristling with prejudices and motivated by pride and vanity.",Dale Carnegie,How to Win Friends & Influence People,5,People,,,2016-01-01
Q116,A man without a smiling face must not open shop.,Chinese Proverb,How to Win Friends & Influence People,4,Business,,,2016-01-01
Q117,"I have yet to find a person, however great or exalted his station, who did not do better work and put forth greater effort under a spirit of approval than he would ever do under a spirit of criticism.",Charles Schwab,How to Win Friends & Influence People,4,Criticism,,,2016-01-01
Q118,"Hatred is never ended by hatred, but by love.",Buddha,How to Win Friends & Influence People,4,Love,,,2016-01-01
Q119,I will speak ill of no man and speak all the good I know of everybody.,Benjamin Franklin,How to Win Friends & Influence People,5,Conversation,,,2016-01-01
Q120,Find a job you love and you love and you'll never work a day in your life.,Clayton Christensen,How Will You Measure Your Life?,4,Business,,,2016-01-01
Q121,"Indeed, while experiences and information can be good teachers, there are many times in life where we simply cannot afford to learn on the job. You don't want to have to go through multiple marriages to learn how to be a good spouse. Or wait until your last child has grown to master parenthood. That is why theory can be so valuable: it can explain what will happen, even before you experience it.",Clayton Christensen,How Will You Measure Your Life?,4,Experience,,,2016-01-01
Q122,"I used to think that if you cared for other people, you need to study sociology or something like it. But, I concluded, if you want to help other people, be a manager. If done well, management is among the most noble of professions.",Clayton Christensen,How Will You Measure Your Life?,5,Business,,,2016-01-01
Q123,When we ask a person to do a favor for us we will be more successful if we provide a reason. People simply like to have reasons for what they do.,Robert B. Cialdini,Influence: Psychology of Persuasion,,Persuasion,,,2016-01-01
Q124,Beware of the contrast principle. Salespeople will often try to sell you the more expensive item first ($500 suit) and then a less expensive accessory after ($49 tie) because the accessory seems less in comparison.,Robert B. Cialdini,Influence: Psychology of Persuasion,,Persuasion,,,2016-01-01
Q125,People will often make a concession to us if they feel we have first made a concession to them (reciprocity). An example is first making your request larger that they will turn down and then meeting in the middle.,Robert B. Cialdini,Influence: Psychology of Persuasion,,Persuasion,,,2016-01-01
Q126,"We like people who are similar to us. This fact seems to hold true whether the similarity is in the area of opinions, personality traits, background, clothing, or lifestyle.",Robert B. Cialdini,Influence: Psychology of Persuasion,,Influence,,,2016-01-01
Q127,Talent hits a target that no one else can hit. Genuis hits a target no one else can see.,Walter Isaacson,Leonardo Da Vinci,5,Success,,,2016-01-01
Q128,Leonardo teaches us how a desire to marvel about the world that we encounter each day can make each moment of our lives richer.,Walter Isaacson,Leonardo Da Vinci,4,Curiosity,,,2016-01-01
Q129,"If we want to be more like Leonardo, we have to be fearless about changing our minds based on new information.",Walter Isaacson,Leonardo Da Vinci,4,Belief,,,2016-01-01
Q130,Owning the stock market over the long term is a winner's game. Beating the stock market is a loser's game.,John C. Bogle,Little Book of Common Sense Investing,,Investing,,,2016-01-01
Q131,"Don't look for the needle, buy the haystack.",John C. Bogle,Little Book of Common Sense Investing,,Investing,,,2016-01-01
Q132,The greatest enemy of a good plan is the dream of a perfect plan.,John C. Bogle,Little Book of Common Sense Investing,,Investing,,,2016-01-01
Q133,Four E's: The two greatest enemies of the equity fund investor are expenses and emotions.,John C. Bogle,Little Book of Common Sense Investing,,Investing,,,2016-01-01
Q134,"We are disturbed not by what happens to us, but by our thoughts about what happens.",Epictetus,Loving What Is,4,Peace,,,2016-01-01
Q135,"I don't let go of my thoughts, I meet them with understanding. Then they let go of me.",Byron Katie,Loving What Is,4,Meditation,,,2016-01-01
Q136,"Much of our stress comes from living outside of ourselves. Anytime you have felt hurt, worried, or insecure, you have likely been in someone else's business.",Byron Katie,Loving What Is,4,Presence,,,2016-01-01
Q137,"If I had a prayer it would be this: ""God spare me from the desire for love, approval, or appreciation. Amen.""",Byron Katie,Loving What Is,5,Peace,,,2016-01-01
Q138,"Pleasure is, and must remain, a side-effect or by-product, and is destroyed and spoiled to the degree to which it is made a goal in itself.",Victor Frankl,Man's Search For Meaning,5,Temptation,,,2016-01-01
Q139,"Our current mental-hygeine philosophy stresses the idea that people ought to be happy, that unhappiness is a system of maladjustment. Such a value system might be responsible for the fact that the burden of unavoidable unhappiness is increased by unhappiness about being unhappy.",Victor Frankl,Man's Search For Meaning,5,Happiness,,,2016-01-01
Q140,When we are no longer able to change a situation--just think of an incurable disease such as inoperable cancer--we are challenged to change ourselves.,Victor Frankl,Man's Search For Meaning,5,Attitude,,,2016-01-01
Q141,"Once the meaning of suffering had been revealed to us, we refused to minimize or alleviate the camp's tortures by ignoring them or harboring false illusions and entertaining artificial optimism. Suffering had become a task on which we did not want to turn our backs. We had realized its hidden opportunities for achievement.",Victor Frankl,Man's Search For Meaning,5,Experience,,,2016-01-01
Q142,"It became easy to overlook the opportunities to make something positive of camp life, opportunities which really did exist. People forget that often it is just such an exceptionally difficult external situation which gives man the opportunity to grow spiritually beyond himself.",Victor Frankl,Man's Search For Meaning,4,Adversity,,,2016-01-01
